Description,Part ID,Link,Per-unit price,Board Quantity,Total Quantity,Extended?,Total Price,Running Price w/ Tax
2.4 GHz Chip Antenna,C89334,https://jlcpcb.com/partdetail/C89334,$0.62,1,5,TRUE,$6.1630,$6.69
100nF Capacitor,C1525,https://jlcpcb.com/partdetail/C1525,$0.00,4,8,FALSE,$0.0104,$6.70
0.8pF Capacitor,C88902,https://jlcpcb.com/partdetail/C88902,$0.04,1,20,TRUE,$3.7420,$10.76
1.0pF Capacitor,C1550,https://jlcpcb.com/partdetail/C1550,$0.00,1,20,FALSE,$0.0240,$10.79
100pF Capacitor,C1546,https://jlcpcb.com/partdetail/C1546,$0.00,1,2,FALSE,$0.0024,$10.79
1uF Capacitor,C28323,https://jlcpcb.com/partdetail/C28323,$0.01,1,2,FALSE,$0.0254,$10.82
12pF Capacitor,C1547,https://jlcpcb.com/partdetail/C1547,$0.00,4,8,FALSE,$0.0096,$10.83
4.7uF Capacitor,C19666,https://jlcpcb.com/partdetail/C19666,$0.01,1,2,FALSE,$0.0206,$10.85
Green LED ,C2297,https://jlcpcb.com/partdetail/C2297,$0.02,1,2,FALSE,$0.0314,$10.88
3.9nH Inductor,C14033,https://jlcpcb.com/partdetail/C14033,$0.00,2,20,FALSE,$0.0800,$10.97
10uH Inductor,C86083,https://jlcpcb.com/partdetail/C86083,$0.05,1,6,TRUE,$3.3412,$14.60
15nH Inductor,C27143,https://jlcpcb.com/partdetail/C27143,$0.05,1,20,FALSE,$1.0200,$15.71
2.7nH Inductor,C27123,https://jlcpcb.com/partdetail/C27123,$0.00,1,20,TRUE,$3.1360,$19.12
1k Resistor,C11702,https://jlcpcb.com/partdetail/C11702,$0.00,1,2,FALSE,$0.0014,$19.12
100k Resistor,C25741,https://jlcpcb.com/partdetail/C25741,$0.00,1,2,FALSE,$0.0016,$19.12
1M Resistor,C26083,https://jlcpcb.com/partdetail/C26083,$0.00,2,4,FALSE,$0.0032,$19.12
SW_SPST Button,C720477,https://jlcpcb.com/partdetail/C720477,$0.05,1,2,FALSE,$0.1082,$19.24
nRF52810-QCxx ,C519278,https://jlcpcb.com/partdetail/C519278,$2.99,1,2,TRUE,$9.0228,$29.04
32MHz Crystal,C2965582,https://jlcpcb.com/partdetail/C2965582,$0.07,1,6,TRUE,$3.4606,$32.80
32.768kHz Crystal,C97603,https://jlcpcb.com/partdetail/C97603,$0.24,1,5,TRUE,$4.2365,$37.40
PCB,,,$1.00,,2,,$2.00,$39.57
PCBA Fees,,,$11.55,,1,,$11.55,$52.12
PCB Shipping,,,$3.12,,1,,$3.12,$55.51
Case,,3d-printed,$0.00,,1,,$0.00,$55.51
M3 Heatset,,https://www.aliexpress.us/item/3256802711669116.html,$0.00,,2,,$0.00,$55.51
M3 Screw x 8mm,,https://www.aliexpress.us/item/2255801013414226.html,$0.00,,2,,$0.00,$55.51
SPDT Limit Switch,,https://www.aliexpress.us/item/2255800451734482.html,$0.00,,1,,$0.00,$55.51
2.54mm Pin Header 1x05,,https://www.aliexpress.us/item/3256806247917356.html,$0.00,,1,,$0.00,$55.51
CR2032 Holder,,https://www.aliexpress.us/item/3256810117671035.html,$0.00,,1,,$0.00,$55.51
